channelTitle,month,total_engagement,total_likes,num_videos,avg_top_similarity
IBM Technology,2023-01-01,449548,10311,7,0.05875880205838282
IBM Technology,2023-02-01,211324,5572,6,0.113784032410296
IBM Technology,2023-03-01,799637,20536,12,0.1034643675668128
IBM Technology,2023-04-01,1715399,39800,9,0.14265495780479373
IBM Technology,2023-05-01,642862,18272,8,0.1526658210039905
IBM Technology,2023-06-01,1511774,27793,13,0.11594032173990317
IBM Technology,2023-07-01,898680,16953,9,0.1160820015801189
IBM Technology,2023-08-01,130062,2677,4,0.11789587571993283
IBM Technology,2023-09-01,237303,5999,5,0.12243837359425902
IBM Technology,2023-10-01,695593,11794,11,0.133779851369263
IBM Technology,2023-11-01,701666,14121,7,0.1357734841793808
IBM Technology,2023-12-01,614119,14267,10,0.18664272561875414
IBM Technology,2024-02-01,283403,7536,6,0.10649250769932629
IBM Technology,2024-03-01,628269,14430,6,0.0400126735713678
IBM Technology,2024-04-01,46146,1011,4,0.16177102061124252
IBM Technology,2024-05-01,799077,17011,9,0.1451400299504865
IBM Technology,2024-06-01,466700,9062,9,0.14054377189283015
IBM Technology,2024-07-01,481714,4711,9,0.09117617022606211
IBM Technology,2024-08-01,416427,8494,19,0.24046106373263862
IBM Technology,2024-09-01,726325,14494,11,0.0630276522867737
IBM Technology,2024-10-01,386828,9150,30,0.12652959984367448
IBM Technology,2024-11-01,777611,18867,31,0.13775554306284787
IBM Technology,2024-12-01,126378,4003,13,0.15460178543189537
IBM Technology,2025-01-01,373842,10272,16,0.17717863017420268
IBM Technology,2025-02-01,677511,14704,9,0.21502140771733988
IBM Technology,2025-03-01,492423,12662,10,0.1413750898859419
IBM Technology,2025-04-01,1158716,25883,9,0.2613061258991897
IBM Technology,2025-05-01,237043,5719,5,0.21485323820355498
IBM Technology,2025-06-01,300764,8585,7,0.2877234061990865
IBM Technology,2025-07-01,54895,1325,2,0.3017157157865102
Microsoft Azure,2019-12-01,147977,1460,6,0.1164361160294568
Microsoft Azure,2020-01-01,37704,309,3,0.1413288212041294
Microsoft Azure,2020-02-01,120529,1222,4,0.1330885069686517
Microsoft Azure,2020-03-01,161703,1425,6,0.20598070842284696
Microsoft Azure,2020-04-01,287043,1711,14,0.21982000610623695
Microsoft Azure,2020-05-01,241736,2740,12,0.0962120795808031
Microsoft Azure,2020-06-01,122267,1480,4,0.13528138368127676
Microsoft Azure,2020-07-01,34535,268,3,0.1313081755645249
Microsoft Azure,2020-08-01,75530,705,6,0.056381742323081935
Microsoft Azure,2020-09-01,66419,1146,4,0.18113195761526277
Microsoft Azure,2020-10-01,29106,297,2,0.13399591320188095
Microsoft Azure,2020-11-01,294747,2366,18,0.09476838658257859
Microsoft Azure,2020-12-01,82874,649,2,0.096417735378864
Microsoft Azure,2021-01-01,36581,473,4,0.2169470249466726
Microsoft Azure,2021-02-01,246347,572,15,0.12388868904273083
Microsoft Azure,2021-03-01,196730,2114,11,0.11330559435987864
Microsoft Azure,2021-04-01,80806,980,5,0.17437545563607337
Microsoft Azure,2021-05-01,73526,808,7,0.1474760059623549
